Day,Month,DayNumber,Year,StartTime,,VisitorPoints,,HomePoints,AttendeeNumber
Tue,Oct,27,2015,8:00p,DET,106,ATL,94,19187
Tue,Oct,27,2015,8:00p,CLE,95,CHI,97,21957
Tue,Oct,27,2015,10:30p,NOP,95,GSW,111,19596
Wed,Oct,28,2015,7:30p,PHI,95,BOS,112,18624
Wed,Oct,28,2015,7:30p,CHI,115,BKN,100,17732
Wed,Oct,28,2015,7:30p,UTA,87,DET,92,18434
Wed,Oct,28,2015,8:00p,DEN,105,HOU,85,18240
Wed,Oct,28,2015,10:30p,MIN,112,LAL,111,18997
Wed,Oct,28,2015,8:00p,CLE,106,MEM,76,18119
Wed,Oct,28,2015,7:30p,CHA,94,MIA,104,19724
Wed,Oct,28,2015,8:00p,NYK,122,MIL,97,18717
Wed,Oct,28,2015,8:00p,SAS,106,OKC,112,18203
Wed,Oct,28,2015,7:00p,WAS,88,ORL,87,18846
Wed,Oct,28,2015,10:00p,DAL,111,PHX,95,18055
Wed,Oct,28,2015,10:00p,NOP,94,POR,112,19393
Wed,Oct,28,2015,10:00p,LAC,111,SAC,104,17458
Wed,Oct,28,2015,7:30p,IND,99,TOR,106,19800
Thu,Oct,29,2015,7:00p,MEM,112,IND,103,18165
Thu,Oct,29,2015,10:30p,DAL,88,LAC,104,19218
Thu,Oct,29,2015,8:00p,ATL,112,NYK,101,19812
Fri,Oct,30,2015,8:00p,CHA,94,ATL,97,17024
Fri,Oct,30,2015,7:30p,TOR,113,BOS,103,16898
Fri,Oct,30,2015,7:00p,MIA,92,CLE,102,20562
Fri,Oct,30,2015,9:00p,MIN,95,DEN,78,17660
Fri,Oct,30,2015,7:30p,CHI,94,DET,98,16035
Fri,Oct,30,2015,9:30p,GSW,112,HOU,92,18142
Fri,Oct,30,2015,8:00p,WAS,118,MIL,113,13858
Fri,Oct,30,2015,7:00p,OKC,139,ORL,136,18846
Fri,Oct,30,2015,7:00p,UTA,99,PHI,71,17122
Fri,Oct,30,2015,10:30p,POR,92,PHX,110,18055
Fri,Oct,30,2015,10:00p,LAL,114,SAC,132,17391
Fri,Oct,30,2015,8:30p,BKN,75,SAS,102,18418
Sat,Oct,31,2015,7:00p,UTA,97,IND,76,14412
Sat,Oct,31,2015,10:30p,SAC,109,LAC,114,19060
Sat,Oct,31,2015,8:00p,BKN,91,MEM,101,16013
Sat,Oct,31,2015,7:30p,GSW,134,NOP,120,18406
Sat,Oct,31,2015,10:00p,PHX,101,POR,90,17906
Sat,Oct,31,2015,7:00p,NYK,117,WAS,110,20356
Sun,Nov,1,2015,3:30p,SAS,95,BOS,87,17461
Sun,Nov,1,2015,7:00p,ORL,87,CHI,92,21585
Sun,Nov,1,2015,2:00p,ATL,94,CHA,92,18691
Sun,Nov,1,2015,9:30p,DAL,103,LAL,93,18997
Sun,Nov,1,2015,6:00p,HOU,89,MIA,109,19600
